COUNTRY,Famous DIRECTOR,REPRESENT FILM,WINNING FILM #
Germany,Volker Schl?ndorff,The Tin Drum,1
Netherlands,Mike van Diem,Character,3
Poland,Ida,Pawel Pawlikowski,1
Germany,Caroline Link,Nowhere in Africa,2
Czech Repub,Jir? Menzel,Closely Watched Trains,3
France,Patrice Leconte,The Man on the Train,12
Hungary,L?szl? Nemes,Son of Saul,2
Switzerland,Xavier Koller,Journey of Hope,2
Italy,Federico Fellini,8 1/2,14
Spain,Belle ?poque,All About My Mother,4
China,Ang Lee,"Crouching Tiger, Hidden Drago",1
Iran,Seyyed Reza Mir-Karimi,A Cube of Sugar,1
Ivory Coast,Jean-Jacques Annaud,Black and White in Color,1
Argentina,Juan Jos? Campanella,The Secret in Their Eyes,2
Australia,Stefan Ruzowitzky,The Counterfeiters,2
South Africa,Gavin Hood,Tsotsi,1
Russian,Sergei Bondarchuk,War and Peace,3
Japan,Akira Kurosawa,Rashomon,4
Algeria,Costa Gavras,Z,1
Bosnia/Herz,Danis Tanovic,No Man's Land,1
Canada,Denys Arcand,The Barbarian Invasions,1
Russia,Nikita Mikhalkov,Burnt by the Sun,1
Denmark,Bille August,Pelle the Conqueror,3
Sweden,Sven Nykvist,Through a Glass Darkly,3
